"作品Title/曲名","Video /BGA      (optional)","sequenceId","bg","提交時間","ID","Created Date","Updated Date","Owner","作品Title/曲名的複本","isDQ"
"飢えた鳥たち","","150","wix:image://v1/1d4bd2_3c0ec2ad4d85493a805898fea3d72d85~mv2.jpg/bg.jpg#originWidth=960&originHeight=960","2026-04-11T18:22:25Z","work-row-0077","2026-04-11T18:22:27Z","2026-05-03T07:28:38Z","user-0288","","true"
"不死身ごっこ","wix:video://v1/7ed701_095c3a5bc7494f01adfdee68936015b1/bg.mp4#posterUri=7ed701_095c3a5bc7494f01adfdee68936015b1f001.jpg&posterWidth=852&posterHeight=480","210","wix:image://v1/7ed701_377ffe9e71f34b4ca3f6dbdf2bb3347a~mv2.jpg/bg.jpg#originWidth=800&originHeight=800","2026-04-18T17:03:56Z","work-row-0078","2026-04-18T17:03:56Z","2026-05-09T16:54:24Z","user-0126","","true"
"キーウィ","wix:video://v1/c0b445_b1fff08db943445e84f65d3a8d76c876/pv.mp4#posterUri=c0b445_b1fff08db943445e84f65d3a8d76c876f001.jpg&posterWidth=428&posterHeight=240","149","wix:image://v1/c0b445_f88581eee7db410784cc139bf6294c32~mv2.jpg/bg.jpg#originWidth=720&originHeight=450","2026-04-11T18:13:32Z","work-row-0079","2026-04-11T18:13:34Z","2026-04-25T04:29:52Z","user-0123","","true"
"我愛メイデン","","100","wix:image://v1/8a8778_e5e73bd1a1664fc1b7640d5e978b4b5c~mv2.jpg/bg.jpg#originWidth=535&originHeight=535","2026-04-10T06:57:40Z","work-row-0080","2026-04-10T06:57:41Z","2026-04-26T04:52:40Z","user-0168","","true"
"同归世界线","","9","wix:image://v1/24e165_f87b3ddebf9b4fa1b622a7cb07bbd5c4~mv2.jpg/bg.jpg#originWidth=2000&originHeight=2000","2026-04-09T05:02:13Z","work-row-0081","2026-04-09T05:02:13Z","2026-04-25T04:23:13Z","user-0159","","true"
"ULTRA ZUNDA 2077","wix:video://v1/4a40f5_c978d5a136274dfbaaf5c0eecb28793f/pv.mp4#posterUri=4a40f5_c978d5a136274dfbaaf5c0eecb28793ff001.jpg&posterWidth=854&posterHeight=480","171","wix:image://v1/4a40f5_dd00a61918a14a66b3906310b3b88b31~mv2.jpg/bg.jpg#originWidth=720&originHeight=720","2026-04-13T02:42:02Z","work-row-0082","2026-04-13T02:42:03Z","2026-04-25T04:31:04Z","user-0178","","true"
"めんどくさいモード","wix:video://v1/f5c2fe_8417a0bfe131441982bf4f2845201e30/bg.mp4#posterUri=f5c2fe_8417a0bfe131441982bf4f2845201e30f001.jpg&posterWidth=854&posterHeight=480","288","wix:image://v1/f5c2fe_39102897caec4a6ab00e159bf08a398f~mv2.png/bg.png#originWidth=900&originHeight=900","2026-05-03T03:18:15Z","work-row-0083","2026-05-03T03:18:16Z","2026-05-09T16:57:01Z","user-0088","","true"
"izanai","wix:video://v1/1610f4_6554143f117045ab9fb4d13bf4576559/bg.mp4#posterUri=1610f4_6554143f117045ab9fb4d13bf4576559f001.jpg&posterWidth=854&posterHeight=480","77","wix:image://v1/1610f4_d1bd2f77338c4d2c960feee6286e292a~mv2.jpg/bg.jpg#originWidth=960&originHeight=960","2026-04-09T17:51:01Z","work-row-0084","2026-04-09T17:51:02Z","2026-04-09T17:51:14Z","user-0072","",""
"emp","wix:video://v1/0c2f32_bc83617086254d239ba61e20ac93a54a/pv.mp4#posterUri=0c2f32_bc83617086254d239ba61e20ac93a54af001.jpg&posterWidth=854&posterHeight=480","41","wix:image://v1/0c2f32_fe492461ee3342dcb2795614c618ceee~mv2.jpg/bg.jpg#originWidth=500&originHeight=500","2026-04-09T13:40:11Z","work-row-0085","2026-04-09T13:40:12Z","2026-05-09T18:14:35Z","user-0200","","true"
"踊れオーケストラ","wix:video://v1/502a96_a788590f99024cba9bc595f6be2430ea/pv.mp4#posterUri=502a96_a788590f99024cba9bc595f6be2430eaf001.jpg&posterWidth=1280&posterHeight=720","123","wix:image://v1/502a96_9b90d970f3494277a9ed474237d7b07e~mv2.png/bg.png#originWidth=1080&originHeight=1080","2026-04-10T16:33:57Z","work-row-0086","2026-04-10T16:33:59Z","2026-05-09T18:16:39Z","user-0052","","true"
"●◎","","57","wix:image://v1/db2420_8141e76749ed4f8990af6f27aa0aca34~mv2.jpg/bg.jpg#originWidth=1419&originHeight=1419","2026-04-09T15:42:55Z","work-row-0087","2026-04-09T15:42:55Z","2026-04-26T04:52:31Z","user-0280","","true"
